clip_ref,video_id,timestamp_s,timestamp_hms,type,class,confidence,split,note,roboflow_image,nearest_gt_event
clip2,02.Candidate was found using a mobile phone in the examination hall..mkv,211.0,03:31.0,FP,phone,0.37,valid,"detector said phone @ 0.37, GT disagrees",02-Candidate_was_found_using_a_mobile_phone_in_the_examination_hall-_f0005276_t00211-0s_jpg.rf.7b5c2e6a0fe79d2b93fa48175b47d3c7.jpg,"5.0s from phone_out [206-206s]: Phone from pocket, no copying"
clip3,03.CCTV Mobile Usage.mkv,2.0,00:02.0,FP,phone,0.27,train,"detector said phone @ 0.27, GT disagrees",03-CCTV_Mobile_Usage_f0000024_t00002-0s_jpg.rf.1c9e53a445af4d7f3fdefd10a4cac7c0.jpg,inside phone_hidden [0-56s]: Phone hidden under t-shirt
clip3,03.CCTV Mobile Usage.mkv,2.5,00:02.5,FP,phone,0.28,valid,"detector said phone @ 0.28, GT disagrees",03-CCTV_Mobile_Usage_f0000030_t00002-5s_jpg.rf.315550e12880f14fd4a2a9220079c0cb.jpg,inside phone_hidden [0-56s]: Phone hidden under t-shirt
clip3,03.CCTV Mobile Usage.mkv,3.5,00:03.5,FN,phone,,train,"GT has object, detector missed",03-CCTV_Mobile_Usage_f0000042_t00003-5s_jpg.rf.031848cb07bd32df0547975491ce984e.jpg,inside phone_hidden [0-56s]: Phone hidden under t-shirt
clip3,03.CCTV Mobile Usage.mkv,5.0,00:05.0,FP,phone,0.34,train,"detector said phone @ 0.34, GT disagrees",03-CCTV_Mobile_Usage_f0000060_t00005-0s_jpg.rf.8c0e5a4a2824710a89769abdfd6f0045.jpg,inside phone_hidden [0-56s]: Phone hidden under t-shirt
clip3,03.CCTV Mobile Usage.mkv,63.0,01:03.0,FN,phone,,valid,"GT has object, detector missed",03-CCTV_Mobile_Usage_f0000761_t00063-0s_jpg.rf.3e945e4aa9f5b4865746567e0be74fd8.jpg,"2.0s from copying [65-65s]: Photographs screen, hides under desk"
clip3,03.CCTV Mobile Usage.mkv,63.5,01:03.5,FN,phone,,train,"GT has object, detector missed",03-CCTV_Mobile_Usage_f0000767_t00063-5s_jpg.rf.a82ca1b682e4d563526a057d277bfea6.jpg,"1.5s from copying [65-65s]: Photographs screen, hides under desk"
clip3,03.CCTV Mobile Usage.mkv,64.5,01:04.5,FN,phone,,train,"GT has object, detector missed",03-CCTV_Mobile_Usage_f0000779_t00064-5s_jpg.rf.a0c7844d1084350ec3770dadf0384424.jpg,"0.5s from copying [65-65s]: Photographs screen, hides under desk"
clip3,03.CCTV Mobile Usage.mkv,65.0,01:05.0,FN,phone,,test,"GT has object, detector missed",03-CCTV_Mobile_Usage_f0000785_t00065-0s_jpg.rf.1e93d264881ee0fc83d26dfe92aa2d95.jpg,"inside copying [65-65s]: Photographs screen, hides under desk"
clip3,03.CCTV Mobile Usage.mkv,65.5,01:05.5,FN,phone,,valid,"GT has object, detector missed",03-CCTV_Mobile_Usage_f0000791_t00065-5s_jpg.rf.37adeaa66fa150762894b76b74a312e6.jpg,"0.5s from copying [65-65s]: Photographs screen, hides under desk"
clip3,03.CCTV Mobile Usage.mkv,66.5,01:06.5,FN,phone,,train,"GT has object, detector missed",03-CCTV_Mobile_Usage_f0000803_t00066-5s_jpg.rf.131078e51113f3fec0f4178e40d8efe7.jpg,"1.5s from copying [65-65s]: Photographs screen, hides under desk"
clip3,03.CCTV Mobile Usage.mkv,80.4,01:20.4,FN,phone,,train,"GT has object, detector missed",03-CCTV_Mobile_Usage_f0000972_t00080-4s_jpg.rf.d8a0a9e1d16daf7607c0a671c9245da7.jpg,0.6s from copying [81-89s]: Photographs screen
clip3,03.CCTV Mobile Usage.mkv,93.4,01:33.4,FN,phone,,train,"GT has object, detector missed",03-CCTV_Mobile_Usage_f0001128_t00093-4s_jpg.rf.11f43fb69c3bcac9b2ab3ed2bc85e964.jpg,inside copying [93-100s]: Copying
clip3,03.CCTV Mobile Usage.mkv,94.8,01:34.8,FN,phone,,valid,"GT has object, detector missed",03-CCTV_Mobile_Usage_f0001146_t00094-8s_jpg.rf.c6c93c41334c4d588d335a0c3b65d3ff.jpg,inside copying [93-100s]: Copying
clip3,03.CCTV Mobile Usage.mkv,105.4,01:45.4,FN,phone,,train,"GT has object, detector missed",03-CCTV_Mobile_Usage_f0001274_t00105-4s_jpg.rf.de414c6d012e0f374700d59567b20564.jpg,1.6s from copying [107-107s]: Photographs screen
clip3,03.CCTV Mobile Usage.mkv,105.9,01:45.9,FN,phone,,train,"GT has object, detector missed",03-CCTV_Mobile_Usage_f0001280_t00105-9s_jpg.rf.5b68944bbef644ebdfa54e5f7bd892ab.jpg,1.1s from copying [107-107s]: Photographs screen
clip3,03.CCTV Mobile Usage.mkv,106.4,01:46.4,FN,phone,,train,"GT has object, detector missed",03-CCTV_Mobile_Usage_f0001286_t00106-4s_jpg.rf.24b3743ab15a864e4a6c6977995f949a.jpg,0.6s from copying [107-107s]: Photographs screen
clip3,03.CCTV Mobile Usage.mkv,131.4,02:11.4,FP,phone,0.47,test,"detector said phone @ 0.47, GT disagrees",03-CCTV_Mobile_Usage_f0001588_t00131-4s_jpg.rf.64f947ba4e8455e807babf5abf833fd8.jpg,inside fake_studying [131-251s]: Turning book pages
clip7,Seat No. 12 was seen taking a piece of paper from the desk.mkv,78.7,01:18.7,FP,paper-chit,0.36,train,"detector said paper-chit @ 0.36, GT disagrees",Seat_No-_12_was_seen_taking_a_piece_of_paper_from_the_desk_f0001967_t00078-7s_jpg.rf.e220b7f13e844e7c4fee3ef47e5d6be3.jpg,"inside copying [26-82s]: Copying from paper, seat 12"
